epoch,train_loss,valid_loss,val_mrr,f1_macro
1,1.59065206975459,1.2516764775566434,56.10021786492375,0.5105394109175224
2,0.7406804207103704,0.791031752721123,73.2843137254902,0.7366899757598862
3,0.6237708303533608,0.8829155346621638,69.0359477124183,0.683654522603465
4,0.5320798885523623,0.5858679920434952,79.65686274509804,0.7983206933195189
5,0.48279242702883574,0.6090423415536466,79.2483660130719,0.8005498659078178
6,0.4567334883093574,0.5651991585026617,81.50871459694989,0.8067677576790203
7,0.4324260610673163,0.5398111383552137,82.18954248366013,0.8203970196982283
8,0.39512169602974306,0.46617802925731827,85.15795206971677,0.8516206355401421
9,0.36062035916580093,0.44221270628597426,85.92047930283225,0.8594941843044884
10,0.33056926798716607,0.4313901898653611,86.49237472766885,0.8664816405476501
11,0.2823389797574944,0.4061020412198875,87.30936819172113,0.8746614474718097
12,0.2591958712615998,0.36806540472999866,88.67102396514161,0.8864316502881726
13,0.21650128491417645,0.40578342332788137,88.45315904139433,0.8854789835104914
14,0.17408465986466745,0.33719961077946686,90.16884531590414,0.8999814788251552
15,0.1393667272716144,0.32302573478740193,91.14923747276688,0.9107308785563533
16,0.11235859318816942,0.3044913927012164,92.0479302832244,0.9195656741054952
17,0.09284315049731474,0.3196615682914853,91.72113289760348,0.9154149960346251
18,0.07824284279838707,0.33569623595508546,91.61220043572985,0.9148719665937006
19,0.07063560192889183,0.3296032126021126,91.28540305010893,0.9113120051551288
20,0.07416110193764705,0.3331767936601587,91.63943355119825,0.9145616003485235
