epoch,train_loss,valid_loss,val_mrr,f1_macro
1,1.6685674955382586,1.1408209919929504,55.66448801742919,0.5019164838122389
2,0.8466536912393466,1.295972856749659,59.77668845315904,0.5935084982534125
3,0.711216754058867,0.7804865323978921,72.82135076252723,0.7318760506607378
4,0.6552222514594043,0.7616499582062597,75.95315904139433,0.7558636094819527
5,0.6352126387014888,0.6697414728610412,78.1318082788671,0.7793104439552754
6,0.5942146448917638,0.6820101421812307,77.17864923747277,0.762859399236635
7,0.5669561967351078,0.7075810129227845,77.36928104575163,0.7738418365298835
8,0.5530976630698622,0.6230001384797303,79.08496732026144,0.7871944529704233
9,0.5031823329870997,0.6152979272863139,80.0925925925926,0.7908653902385507
10,0.4888385938468322,0.5173241350961768,83.2516339869281,0.8307138318065949
11,0.4315309346144236,0.5972425468589948,80.1470588235294,0.8030762410986222
12,0.3868624909186415,0.4327500241606132,85.75708061002179,0.855984804629658
13,0.3425992874018767,0.42818587289556215,86.71023965141612,0.8627413596423951
14,0.31182742270606534,0.42236265086609387,87.60893246187364,0.8683294081658733
15,0.2582933293830011,0.39106500965097674,88.3442265795207,0.8809725702638987
16,0.2320437433100701,0.3512158239017362,89.24291938997821,0.8882502216001326
17,0.20316436536171856,0.35064808078434156,89.95098039215686,0.8974424955263448
18,0.19427902830565807,0.3622951985701271,89.54248366013071,0.8924747456113762
19,0.17337770330311816,0.36205010145254757,89.84204793028323,0.8966445196716728
20,0.17651164398603708,0.3582671867440576,89.84204793028323,0.89473329557797
